id,category,difficulty,question,keywords
1,Behavioral,Easy,Tell me about yourself.,"background,experience,skills,strengths,career"
2,Behavioral,Easy,Why do you want to work here?,"company,role,values,mission,fit"
3,Behavioral,Medium,Describe a time you handled a conflict at work.,"situation,conflict,communication,resolution,outcome"
4,Behavioral,Medium,Tell me about a project you are proud of.,"project,role,impact,challenge,result"
5,Behavioral,Hard,Describe a failure and what you learned from it.,"failure,mistake,lesson,improvement,accountability"
6,Technical,Easy,What is the difference between a list and a tuple in Python?,"mutable,immutable,list,tuple,python"
7,Technical,Medium,Explain how HTTP request/response works.,"request,response,status,headers,client,server"
8,Technical,Medium,What is time complexity and why does it matter?,"big-o,algorithm,efficiency,scale,performance"
9,Technical,Hard,How would you design a URL shortener?,"hash,database,cache,scale,redirect,api"
10,Technical,Hard,Explain database indexing and when you would use it.,"index,query,b-tree,performance,lookup"
11,HR,Easy,What are your salary expectations?,"range,market,research,flexible,compensation"
12,HR,Medium,Where do you see yourself in five years?,"growth,goals,skills,leadership,career"
13,HR,Medium,Why are you leaving your current role?,"growth,opportunity,positive,transition,next"
